"id","primary_name","second_name","description","create_time","update_time","classify_type","sub_classify_type","ip_version_name","protocol_name","protocol_num","port_type","port_list","tcp_flags","ip_addr_type","ip_addr_src_equal_dst","ip_addr_list"
"31","DNS Query Flood","dnsquery","DNS查询洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","UDP","17","DST","53",,,,
"32","TCP ACK-PSH Flood","tcpackpsh","TCP ACK+PSH洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"ACK,PSH",,,
"33","HTTP Flood","httpflood","HTTP洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6","DST","80,8080",,,,
"34","HTTPS Flood","httpsflood","HTTPS洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6","DST","443",,,,
"35","QUIC Flood","quic","QUIC洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","UDP","17","DST","443",,,,
"36","TCP Traffic","tcptraffic","TCP流量","17/9/2022 09:08:55",,"DDOS","Traffic","IPv4,IPv6","TCP","6",,,,,,
"37","TCP SYN-ACK Flood","tcpsynack","TCP SYN+ACK洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"SYN,ACK",,,
"38","TCP Xmas Flood","tcpxmas","TCP圣诞树洪泛攻击","17/9/2022 09:08:55",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"URG,ACK,PSH,RST,SYN,FIN",,"",""
"39","WebSocket Discovery Amplification","wsdisc","WebSocket反射攻击","17/9/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","623",,,,
"40","IPMI Amplification","ipmi","智能平台管理接口（IPMI）反射攻击","17/9/2022 09:08:55",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","3702",,,,
"41","TCP FIN Flood","tcpfin","TCP FIN洪泛攻击","30/1/2023 12:55:10",,"DDOS","Flood","IPv4,IPv6","TCP","6",,,"FIN",,"",""
"42","SIP Flood","sipflood","SIP洪泛攻击","30/1/2023 12:55:10",,"DDOS","Flood","IPv4,IPv6","UDP","17","DST","5060",,,,
"43","TFTP Amplification","tftp","TFTP反射攻击","30/1/2023 12:55:10",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","69",,,,
"44","Sentinel Amplification","sentinel","Sentinel反射攻击","30/1/2023 12:55:10",,"DDOS","Amplification","IPv4,IPv6","UDP","17","SRC","5093",,,,
"45","IGMP Flood","igmp","IGMP所有流量","26/8/2024 09:08:55",,"DDOS","Flood","IPv4,IPv6","IGMP","2",,,,,,
"46","FTP Flood","ftpflood","FTP所有流量","12/11/2025 00:00:00",,"DDOS","Flood","IPv4,IPv6","TCP","6","DST","21","SYN",,,
"47","SMTP Flood","smtpflood","SMTP所有流量","12/11/2025 00:00:00",,"DDOS","Flood","IPv4,IPv6","TCP","6","DST","25",,,,
